1,0,5,23
1,1,83,5
2,2,42,49
15,3,34,16
21,4,15,57
35,5,5,27
37,6,7,64
49,7,5,49
54,8,35,5
67,9,5,74
79,10,45,11
100,11,14,5
102,12,22,96
119,13,5,88
121,14,33,5
122,15,5,43
124,16,5,90
142,17,48,5
143,18,5,22
143,19,5,75
155,20,55,40
157,21,5,86
158,22,78,90
168,23,5,39
172,24,5,14
173,25,5,46
174,26,5,38
178,27,5,23
182,28,39,5
188,29,1,5
189,30,5,94
193,31,76,47
211,32,5,18
218,33,5,74
222,34,5,55
234,35,5,50
237,36,5,71
263,37,13,5
290,38,45,38
290,39,5,80
320,40,86,80
342,41,5,13
352,42,5,18
363,43,46,70
370,44,94,10
370,45,47,45
373,46,5,92
381,47,43,5
394,48,47,5
400,49,4,5
406,50,5,15
427,51,5,22
429,52,99,5
429,53,15,86
430,54,100,79
432,55,72,18
436,56,56,5
451,57,87,5
453,58,5,55
470,59,27,17
477,60,100,22
486,61,5,9
489,62,5,89
492,63,5,72
499,64,66,5
500,65,5,4
528,66,5,21
547,67,12,5
560,68,5,32
562,69,48,5
579,70,45,53
581,71,10,5
609,72,5,45
619,73,61,58
630,74,27,91
635,75,60,95
637,76,5,49
639,77,39,5
642,78,5,45
649,79,5,12
679,80,5,52
684,81,89,5
695,82,27,91
696,83,5,32
710,84,13,5
722,85,90,67
725,86,92,5
734,87,46,5
734,88,5,93
736,89,39,51
740,90,5,73
774,91,5,36
777,92,90,54
783,93,5,29
810,94,5,7
811,95,5,21
814,96,5,85
819,97,5,83
835,98,5,86
837,99,38,5
841,100,70,91
848,101,5,59
851,102,23,29
869,103,47,5
869,104,5,78
874,105,51,5
879,106,23,41
891,107,2,25
893,108,27,18
895,109,5,17
896,110,42,9
902,111,5,37
913,112,36,66
918,113,5,70
922,114,92,5
922,115,5,18
923,116,31,79
924,117,58,61
925,118,5,76
940,119,27,5
948,120,5,84
950,121,5,56
951,122,87,5
953,123,5,97
970,124,5,75
974,125,92,5
994,126,9,19
995,127,63,5
995,128,5,97
1001,129,5,22
1015,130,84,1
1022,131,29,10
1025,132,5,90
1027,133,67,5
1043,134,5,50
1053,135,22,5
1054,136,5,31
1055,137,5,18
1071,138,9,96
1074,139,5,81
1084,140,5,43
1110,141,5,1
1112,142,36,21
1113,143,1,5
1146,144,5,36
1156,145,5,75
1162,146,5,25
1169,147,89,43
1184,148,18,5
1184,149,64,5
1196,150,65,90
1205,151,60,99
1206,152,5,25
1210,153,13,51
1210,154,5,22
1211,155,5,67
1213,156,19,64
1225,157,54,97
1230,158,5,7
1233,159,24,50
1238,160,59,19
1240,161,55,63
1242,162,25,59
1249,163,5,26
1262,164,5,87
1266,165,6,40
1267,166,76,91
1269,167,5,15
1277,168,5,30
1279,169,92,54
1290,170,36,5
1293,171,5,57
1298,172,5,61
1304,173,5,15
1304,174,5,66
1311,175,26,5
1322,176,3,21
1323,177,65,5
1328,178,5,94
1333,179,5,56
1350,180,5,36
1358,181,92,5
1361,182,5,35
1370,183,26,5
1383,184,5,81
1391,185,5,78
1393,186,5,23
1397,187,5,8
1406,188,5,97
1408,189,87,13
1428,190,5,23
1430,191,5,9
1430,192,94,3
1441,193,99,5
1445,194,5,60
1446,195,18,5
1453,196,82,5
1475,197,5,36
1480,198,72,5
1483,199,5,77
1486,200,66,5
1501,201,19,72
1507,202,41,5
1514,203,10,5
1523,204,5,97
1524,205,3,5
1533,206,5,9
1542,207,72,5
1543,208,5,48
1543,209,5,36
1546,210,5,19
1552,211,5,68
1553,212,64,29
1569,213,5,49
1574,214,58,47
1593,215,18,98
1605,216,5,74
1607,217,5,3
1625,218,32,57
1627,219,64,5
1628,220,5,41
1630,221,30,84
1632,222,73,6
1644,223,5,54
1648,224,4,69
1653,225,26,9
1671,226,5,6
1676,227,86,5
1690,228,5,94
1699,229,5,28
1714,230,58,62
1715,231,5,62
1719,232,5,27
1721,233,30,12
1724,234,77,48
1740,235,5,88
1749,236,19,87
1757,237,5,75
1759,238,5,53
1762,239,5,21
1766,240,93,70
1778,241,5,34
1778,242,73,72
1780,243,4,5
1784,244,5,90
1784,245,10,5
1797,246,5,77
1798,247,54,5
1804,248,2,22
1815,249,5,17
1816,250,5,65
1825,251,5,55
1829,252,85,5
1845,253,55,5
1855,254,5,18
1865,255,5,80
1875,256,5,74
1881,257,5,96
1884,258,87,62
1897,259,5,41
1900,260,5,54
1904,261,5,58
1913,262,5,93
1932,263,56,46
